ACFT_ID;Op Type;Flap_ID;B;C;D;R
1900D;A;35-A;;;0.915858;0.130495
1900D;A;A_40D;;;0.416345;0.140491
1900D;A;ZERO-A;;;;0.106643
1900D;D;17-D;0.060076;0.858496;;0.072968
1900D;D;ZERO-D;;;;0.094383
707320;A;14;;;;0.089316
707320;A;D-25;;;0.307537;0.107756
707320;A;D-40;;;0.279116;0.134567
707320;A;D-50;;;0.275511;0.154720
707320;A;U-25;;;;0.098219
707320;A;ZERO;;;;0.056170
707320;D;14;0.004514;0.312431;;0.089316
707320;D;INT;;;;0.072743
707320;D;ZERO;;;;0.056170
707QN;A;14;;;;0.089316
707QN;A;D-25;;;0.307537;0.107756
707QN;A;D-40;;;0.279116;0.134567
707QN;A;D-50;;;0.275511;0.154720
707QN;A;U-25;;;;0.098219
707QN;A;ZERO;;;;0.056170
707QN;D;14;0.004514;0.312431;;0.089316
707QN;D;INT;;;;0.072743
707QN;D;ZERO;;;;0.056170
717200;A;A_0U;;;;0.064560
717200;A;A_13D;;;;0.109249
717200;A;A_13U;;;;0.095353
717200;A;A_18D;;;;0.110090
717200;A;A_18U;;;;0.095015
717200;A;A_40D;;;0.416345;0.140491
717200;D;T_00B;;;;0.060000
717200;D;T_00C;;;;0.060000
717200;D;T_05H;0.011607;0.483254;;0.075000
717200;D;T_05M;0.011795;0.489068;;0.075000
717200;D;T_13A;0.010862;0.469923;;0.078000
720B;A;20;;;;0.091933
720B;A;D-30;;;0.350247;0.109478
720B;A;D-50;;;0.339412;0.148843
720B;A;U-30;;;;0.098050
720B;A;ZERO;;;;0.056170
720B;D;20;0.005730;0.356426;;0.091933
720B;D;30;0.005238;0.340735;;0.104243
720B;D;INT;;;;0.074052
720B;D;ZERO;;;;0.056170
727100;A;5;;;;0.088916
727100;A;D-25;;;0.350485;0.128359
727100;A;D-30;;;0.343897;0.145903
727100;A;D-40;;;0.335992;0.186604
727100;A;U-15;;;;0.090698
727100;A;U-25;;;;0.113154
727100;A;ZERO;;;;0.063600
727100;D;15;0.008301;0.392649;;0.095459
727100;D;2;;;;0.085700
727100;D;25;0.007389;0.371567;;0.115623
727100;D;5;0.008692;0.415048;;0.088916
727100;D;ZERO;;;;0.063600
727D15;A;5;;;;0.086900
727D15;A;D-25;;;0.383689;0.109535
727D15;A;D-30;;;0.368000;0.143700
727D15;A;D-40;;;0.360000;0.184400
727D15;A;U-15;;;;0.089969
727D15;A;U-25;;;;0.109535
727D15;A;ZERO;;;;0.059400
727D15;D;15;0.008260;0.388000;;0.092900
727D15;D;2;;;;0.085700
727D15;D;20;0.007712;0.376653;;0.108897
727D15;D;25;0.007630;0.367000;;0.111200
727D15;D;5;0.009240;0.409000;;0.086900
727D15;D;ZERO;;;;0.059400
727D17;A;5;;;;0.086900
727D17;A;D-25;;;0.383689;0.124821
727D17;A;D-30;;;0.368000;0.143700
727D17;A;D-40;;;0.360000;0.184400
727D17;A;U-15;;;;0.089969
727D17;A;U-25;;;;0.109535
727D17;A;ZERO;;;;0.059400
727D17;D;15;0.008260;0.388000;;0.092900
727D17;D;2;;;;0.085700
727D17;D;20;0.007712;0.376653;;0.108897
727D17;D;25;0.007630;0.367000;;0.111200
727D17;D;5;0.009240;0.409000;;0.086900
727D17;D;ZERO;;;;0.059400
727EM1;A;5;;;;0.088916
727EM1;A;D-25;;;0.350485;0.128359
727EM1;A;D-30;;;0.343897;0.145903
727EM1;A;D-40;;;0.335992;0.186604
727EM1;A;U-15;;;;0.090698
727EM1;A;U-25;;;;0.113154
727EM1;A;ZERO;;;;0.063600
727EM1;D;15;0.008301;0.392649;;0.095459
727EM1;D;2;;;;0.085700
727EM1;D;25;0.007389;0.371567;;0.115623
727EM1;D;5;0.008692;0.415048;;0.088916
727EM1;D;ZERO;;;;0.063600
727EM2;A;5;;;;0.086900
727EM2;A;D-25;;;0.383689;0.109535
727EM2;A;D-30;;;0.368000;0.143700
727EM2;A;D-40;;;0.360000;0.184400
727EM2;A;U-15;;;;0.089969
727EM2;A;U-25;;;;0.109535
727EM2;A;ZERO;;;;0.059400
727EM2;D;15;0.008260;0.388000;;0.092900
727EM2;D;2;;;;0.085700
