ACFT_ID;Profile_ID;Step Number;Step Type;Flap_ID;Start Altitude(ft);Start CAS (kt);Descent Angle (deg);Touchdown Roll (ft);Distance (ft);Start Thrust
1900D;DEFAULT;1;Descend;ZERO-A;6000.0;160.0;3.0;;;
1900D;DEFAULT;2;Descend;ZERO-A;3000.0;160.0;3.0;;;
1900D;DEFAULT;3;Descend;ZERO-A;1500.0;146.0;3.0;;;
1900D;DEFAULT;4;Descend;35-A;1000.0;118.0;3.0;;;
1900D;DEFAULT;5;Land;35-A;;;;57.2;;
1900D;DEFAULT;6;Decelerate;;;84.0;;;515.2;40.0
1900D;DEFAULT;7;Decelerate;;;10.0;;;0;10.0
707320;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
707320;DEFAULT;2;Descend;14;3000.0;160.0;3.0;;;
707320;DEFAULT;3;Descend;D-25;1500.0;145.0;3.0;;;
707320;DEFAULT;4;Descend;D-40;1000.0;131.6;3.0;;;
707320;DEFAULT;5;Land;D-40;;;;410.6;;
707320;DEFAULT;6;Decelerate;;;124.9;;;3695.4;40.0
707320;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
707QN;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
707QN;DEFAULT;2;Descend;14;3000.0;160.0;3.0;;;
707QN;DEFAULT;3;Descend;D-25;1500.0;145.0;3.0;;;
707QN;DEFAULT;4;Descend;D-40;1000.0;131.6;3.0;;;
707QN;DEFAULT;5;Land;D-40;;;;410.6;;
707QN;DEFAULT;6;Decelerate;;;124.9;;;3695.4;40.0
707QN;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
717200;DEFAULT;1;Descend;A_0U;6000.0;250.0;3.0;;;
717200;DEFAULT;2;Descend;A_18U;3000.0;190.0;3.0;;;
717200;DEFAULT;3;Descend;A_18D;1500.0;160.0;3.0;;;
717200;DEFAULT;4;Descend;A_40D;1000.0;140.0;3.0;;;
717200;DEFAULT;5;Land;A_40D;;;;318.6;;
717200;DEFAULT;6;Decelerate;;;130.0;;;2867.4;40.0
717200;DEFAULT;7;Decelerate;;;30.0;;;0;8.6
720B;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
720B;DEFAULT;2;Descend;20;3000.0;160.0;3.0;;;
720B;DEFAULT;3;Descend;U-30;1500.0;149.0;3.0;;;
720B;DEFAULT;4;Descend;D-30;1000.0;139.0;3.0;;;
720B;DEFAULT;5;Land;D-30;;;;419.1;;
720B;DEFAULT;6;Decelerate;;;131.9;;;3771.9;40.0
720B;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727100;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727100;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727100;DEFAULT;3;Descend;D-25;1500.0;125.5;3.0;;;
727100;DEFAULT;4;Descend;D-30;1000.0;123.2;3.0;;;
727100;DEFAULT;5;Land;D-30;;;;342.6;;
727100;DEFAULT;6;Decelerate;;;116.8;;;3083.4;40.0
727100;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727D15;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727D15;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727D15;DEFAULT;3;Descend;D-25;1500.0;149.6;3.0;;;
727D15;DEFAULT;4;Descend;D-30;1000.0;147.6;3.0;;;
727D15;DEFAULT;5;Land;D-30;;;;347.6;;
727D15;DEFAULT;6;Decelerate;;;140.0;;;3128.4;40.0
727D15;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727D17;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727D17;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727D17;DEFAULT;3;Descend;D-25;1500.0;149.6;3.0;;;
727D17;DEFAULT;4;Descend;D-30;1000.0;147.6;3.0;;;
727D17;DEFAULT;5;Land;D-30;;;;394.6;;
727D17;DEFAULT;6;Decelerate;;;140.0;;;3551.4;40.0
727D17;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727EM1;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727EM1;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727EM1;DEFAULT;3;Descend;D-25;1500.0;125.5;3.0;;;
727EM1;DEFAULT;4;Descend;D-30;1000.0;123.2;3.0;;;
727EM1;DEFAULT;5;Land;D-30;;;;342.6;;
727EM1;DEFAULT;6;Decelerate;;;116.8;;;3083.4;40.0
727EM1;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727EM2;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727EM2;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727EM2;DEFAULT;3;Descend;D-25;1500.0;149.6;3.0;;;
727EM2;DEFAULT;4;Descend;D-30;1000.0;147.6;3.0;;;
727EM2;DEFAULT;5;Land;D-30;;;;347.6;;
727EM2;DEFAULT;6;Decelerate;;;140.0;;;3128.4;40.0
727EM2;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727Q15;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727Q15;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727Q15;DEFAULT;3;Descend;D-25;1500.0;149.6;3.0;;;
727Q15;DEFAULT;4;Descend;D-30;1000.0;147.6;3.0;;;
727Q15;DEFAULT;5;Land;D-30;;;;347.6;;
727Q15;DEFAULT;6;Decelerate;;;140.0;;;3128.4;40.0
727Q15;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727Q7;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727Q7;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727Q7;DEFAULT;3;Descend;D-25;1500.0;125.5;3.0;;;
727Q7;DEFAULT;4;Descend;D-30;1000.0;123.2;3.0;;;
727Q7;DEFAULT;5;Land;D-30;;;;342.6;;
727Q7;DEFAULT;6;Decelerate;;;116.8;;;3083.4;40.0
727Q7;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727Q9;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
727Q9;DEFAULT;2;Descend;5;3000.0;160.0;3.0;;;
727Q9;DEFAULT;3;Descend;D-25;1500.0;145.4;3.0;;;
727Q9;DEFAULT;4;Descend;D-30;1000.0;143.4;3.0;;;
727Q9;DEFAULT;5;Land;D-30;;;;394.6;;
727Q9;DEFAULT;6;Decelerate;;;136.0;;;3551.4;40.0
727Q9;DEFAULT;7;Decelerate;;;30.0;;;0;10.0
727QF;DEFAULT;1;Descend;U-ZERO;6000.0;250.0;3.0;;;
727QF;DEFAULT;2;Descend;U-05;3000.0;160.0;3.0;;;
727QF;DEFAULT;3;Descend;D-15;1500.0;150.0;3.0;;;
727QF;DEFAULT;4;Descend;D-30;1000.0;131.0;3.0;;;
727QF;DEFAULT;5;Land;D-30;;;;363.0;;
727QF;DEFAULT;6;Decelerate;;;121.0;;;2686.0;40.0
727QF;DEFAULT;7;Decelerate;;;60.0;;;0;10.0
737;DEFAULT;1;Descend;ZERO;6000.0;250.0;3.0;;;
