ACFT_ID;Profile_ID;Stage Length;Step Number;Step Type;Thrust Rating;Flap_ID;End Point Altitude (ft);Rate Of Climb (ft/min);End Point CAS (kt);Accel Percentage (%)
1900D;DEFAULT;1;1;Takeoff;MaxTakeoff;17-D;;;;
1900D;DEFAULT;1;2;Climb;MaxTakeoff;17-D;400.0;;;
1900D;DEFAULT;1;3;Accelerate;MaxTakeoff;17-D;;2750.0;128.0;
1900D;DEFAULT;1;4;Accelerate;MaxClimb;ZERO-D;;2950.0;138.0;
1900D;DEFAULT;1;5;Climb;MaxClimb;ZERO-D;3000.0;;;
1900D;DEFAULT;1;6;Accelerate;MaxClimb;ZERO-D;;1500.0;160.0;
1900D;DEFAULT;1;7;Climb;MaxClimb;ZERO-D;5500.0;;;
1900D;DEFAULT;1;8;Climb;MaxClimb;ZERO-D;7500.0;;;
1900D;DEFAULT;1;9;Climb;MaxClimb;ZERO-D;10000.0;;;
1900D;DEFAULT;2;1;Takeoff;MaxTakeoff;17-D;;;;
1900D;DEFAULT;2;2;Climb;MaxTakeoff;17-D;400.0;;;
1900D;DEFAULT;2;3;Accelerate;MaxTakeoff;17-D;;2400.0;128.0;
1900D;DEFAULT;2;4;Accelerate;MaxClimb;ZERO-D;;2650.0;138.0;
1900D;DEFAULT;2;5;Climb;MaxClimb;ZERO-D;3000.0;;;
1900D;DEFAULT;2;6;Accelerate;MaxClimb;ZERO-D;;1500.0;160.0;
1900D;DEFAULT;2;7;Climb;MaxClimb;ZERO-D;5500.0;;;
1900D;DEFAULT;2;8;Climb;MaxClimb;ZERO-D;7500.0;;;
1900D;DEFAULT;2;9;Climb;MaxClimb;ZERO-D;10000.0;;;
707320;DEFAULT;1;1;Takeoff;MaxTakeoff;14;;;;
707320;DEFAULT;1;2;Climb;MaxTakeoff;14;1000.0;;;
707320;DEFAULT;1;3;Accelerate;MaxTakeoff;14;;2047.0;175.0;
707320;DEFAULT;1;4;Accelerate;MaxClimb;INT;;1000.0;195.0;
707320;DEFAULT;1;5;Climb;MaxClimb;ZERO;3000.0;;;
707320;DEFAULT;1;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707320;DEFAULT;1;7;Climb;MaxClimb;ZERO;5500.0;;;
707320;DEFAULT;1;8;Climb;MaxClimb;ZERO;7500.0;;;
707320;DEFAULT;1;9;Climb;MaxClimb;ZERO;10000.0;;;
707320;DEFAULT;2;1;Takeoff;MaxTakeoff;14;;;;
707320;DEFAULT;2;2;Climb;MaxTakeoff;14;1000.0;;;
707320;DEFAULT;2;3;Accelerate;MaxTakeoff;14;;1905.0;179.0;
707320;DEFAULT;2;4;Accelerate;MaxClimb;INT;;1000.0;199.0;
707320;DEFAULT;2;5;Climb;MaxClimb;ZERO;3000.0;;;
707320;DEFAULT;2;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707320;DEFAULT;2;7;Climb;MaxClimb;ZERO;5500.0;;;
707320;DEFAULT;2;8;Climb;MaxClimb;ZERO;7500.0;;;
707320;DEFAULT;2;9;Climb;MaxClimb;ZERO;10000.0;;;
707320;DEFAULT;3;1;Takeoff;MaxTakeoff;14;;;;
707320;DEFAULT;3;2;Climb;MaxTakeoff;14;1000.0;;;
707320;DEFAULT;3;3;Accelerate;MaxTakeoff;14;;1793.0;183.0;
707320;DEFAULT;3;4;Accelerate;MaxClimb;INT;;1000.0;203.0;
707320;DEFAULT;3;5;Climb;MaxClimb;ZERO;3000.0;;;
707320;DEFAULT;3;6;Accelerate;MaxClimb;ZERO;;1000.0;250.0;
707320;DEFAULT;3;7;Climb;MaxClimb;ZERO;5500.0;;;
707320;DEFAULT;3;8;Climb;MaxClimb;ZERO;7500.0;;;
707320;DEFAULT;3;9;Climb;MaxClimb;ZERO;10000.0;;;
707320;DEFAULT;4;1;Takeoff;MaxTakeoff;14;;;;
