ACFT_ID;Op Type;Profile_ID;Stage Length;Point Number;Distance (ft);Altitude AFE (ft);TAS (kt);Power Setting
747100;A;DEFAULT;1;1;-114487.0;6000.0;250.0;1000.0
747100;A;DEFAULT;1;2;-57243.0;3000.0;143.0;7440.0
747100;A;DEFAULT;1;3;-28622.0;1500.0;143.0;7550.0
747100;A;DEFAULT;1;4;-19081.0;1000.0;143.0;7550.0
747100;A;DEFAULT;1;5;0;0;143.0;7550.0
747100;A;DEFAULT;1;6;420.0;0;143.0;3304.2
747100;A;DEFAULT;1;7;4200.0;0;30.0;3305.0
747100;D;DEFAULT;1;1;0;0;35.0;33042.0
747100;D;DEFAULT;1;2;4358.0;0;147.0;33042.0
747100;D;DEFAULT;1;3;9719.0;1000.0;147.0;33042.0
747100;D;DEFAULT;1;4;15129.0;1607.0;172.0;33042.0
747100;D;DEFAULT;1;5;16129.0;1667.0;174.0;22922.0
747100;D;DEFAULT;1;6;36853.0;2916.0;222.0;22922.0
747100;D;DEFAULT;1;7;37662.0;3000.0;222.0;22922.0
747100;D;DEFAULT;1;8;48457.0;3543.0;250.0;22922.0
747100;D;DEFAULT;1;9;69522.0;5500.0;250.0;22922.0
747100;D;DEFAULT;1;10;93927.0;7500.0;250.0;22922.0
747100;D;DEFAULT;1;11;129468.0;10000.0;250.0;22922.0
747100;D;DEFAULT;2;1;0;0;35.0;33042.0
747100;D;DEFAULT;2;2;4732.0;0;150.0;33042.0
747100;D;DEFAULT;2;3;10450.0;1000.0;150.0;33042.0
747100;D;DEFAULT;2;4;16184.0;1595.0;175.0;33042.0
747100;D;DEFAULT;2;5;17184.0;1655.0;177.0;22922.0
747100;D;DEFAULT;2;6;38691.0;2819.0;225.0;22922.0
747100;D;DEFAULT;2;7;40551.0;3000.0;225.0;22922.0
747100;D;DEFAULT;2;8;50605.0;3460.0;250.0;22922.0
747100;D;DEFAULT;2;9;74064.0;5500.0;250.0;22922.0
747100;D;DEFAULT;2;10;100297.0;7500.0;250.0;22922.0
747100;D;DEFAULT;2;11;138690.0;10000.0;250.0;22922.0
747100;D;DEFAULT;3;1;0;0;35.0;33042.0
747100;D;DEFAULT;3;2;5223.0;0;154.0;33042.0
747100;D;DEFAULT;3;3;11407.0;1000.0;154.0;33042.0
747100;D;DEFAULT;3;4;17665.0;1596.0;179.0;33042.0
747100;D;DEFAULT;3;5;18665.0;1646.0;181.0;22922.0
747100;D;DEFAULT;3;6;41833.0;2767.0;229.0;22922.0
747100;D;DEFAULT;3;7;44433.0;3000.0;229.0;22922.0
747100;D;DEFAULT;3;8;53445.0;3372.0;250.0;22922.0
747100;D;DEFAULT;3;9;79996.0;5500.0;250.0;22922.0
747100;D;DEFAULT;3;10;108677.0;7500.0;250.0;22922.0
747100;D;DEFAULT;3;11;150937.0;10000.0;250.0;22922.0
747100;D;DEFAULT;4;1;0;0;35.0;33042.0
747100;D;DEFAULT;4;2;5842.0;0;158.0;33042.0
747100;D;DEFAULT;4;3;12616.0;1000.0;158.0;33042.0
747100;D;DEFAULT;4;4;19652.0;1614.0;183.0;33042.0
747100;D;DEFAULT;4;5;20652.0;1657.0;185.0;22922.0
747100;D;DEFAULT;4;6;46570.0;2761.0;233.0;22922.0
747100;D;DEFAULT;4;7;49412.0;3000.0;233.0;22922.0
747100;D;DEFAULT;4;8;57350.0;3292.0;250.0;22922.0
747100;D;DEFAULT;4;9;87705.0;5500.0;250.0;22922.0
747100;D;DEFAULT;4;10;119596.0;7500.0;250.0;22922.0
747100;D;DEFAULT;4;11;167007.0;10000.0;250.0;22922.0
747100;D;DEFAULT;5;1;0;0;35.0;33042.0
747100;D;DEFAULT;5;2;7545.0;0;168.0;33042.0
747100;D;DEFAULT;5;3;15969.0;1000.0;168.0;33042.0
747100;D;DEFAULT;5;4;25545.0;1683.0;193.0;33042.0
747100;D;DEFAULT;5;5;26546.0;1715.0;194.0;22922.0
747100;D;DEFAULT;5;6;61273.0;2816.0;243.0;22922.0
