ACFT_ID;Stage Length;Weight (lb)
1900D;1;15500
1900D;2;16950
707;1;175000
707;2;185000
707;3;200000
707;4;220000
707;5;245000
707;6;257000
707120;1;175000
707120;2;185000
707120;3;200000
707120;4;220000
707120;5;245000
707120;6;257000
707320;1;214000
707320;2;228000
707320;3;240000
707320;4;260000
707320;5;286000
707320;6;312000
707320;7;330000
707QN;1;214000
707QN;2;228000
707QN;3;240000
707QN;4;260000
707QN;5;286000
707QN;6;312000
707QN;7;330000
717200;1;94900
717200;2;99700
717200;3;104900
717200;4;110400
717200;5;112700
717200;6;121000
720;1;145000
720;2;155000
720;3;165000
720;4;180000
720;5;190000
720B;1;165000
720B;2;175000
720B;3;185000
720B;4;200000
720B;5;210000
727100;1;136000
727100;2;143000
727100;3;150000
727100;4;158000
727200;1;152000
727200;2;163000
727200;3;174000
727200;4;185000
727D15;1;156000
727D15;2;164000
727D15;3;175000
727D15;4;189000
727D15;5;204000
727D17;1;157000
727D17;2;169000
727D17;3;180000
727D17;4;189000
727EM1;1;136000
727EM1;2;143000
727EM1;3;150000
727EM1;4;158000
727EM2;1;156000
727EM2;2;164000
727EM2;3;175000
727EM2;4;189000
727EM2;5;204000
727Q15;1;156000
727Q15;2;164000
727Q15;3;175000
727Q15;4;189000
727Q15;5;204000
727Q7;1;136000
727Q7;2;143000
727Q7;3;150000
727Q7;4;158000
727Q9;1;156000
727Q9;2;168000
727Q9;3;180000
727Q9;4;191000
727QF;1;136000
727QF;2;143000
727QF;3;150000
727QF;4;158000
737;1;82000
737;2;85000
737;3;92000
737;4;100000
737300;1;108800
737300;2;114100
737300;3;119900
737300;4;131800
7373B2;1;108800
7373B2;2;114100
7373B2;3;119900
7373B2;4;131800
7373B2;M;139500
737400;1;115800
737400;2;121400
737400;3;127700
737400;4;138200
737400;M;150000
737500;1;103400
737500;2;108500
737500;3;114100
737500;4;125700
737500;5;126900
737500;M;128500
737700;1;120000
737700;2;125000
737700;3;130300
737700;4;141100
737700;5;154400
737700;6;154500
737800;1;133300
737800;2;139200
737800;3;145500
737800;4;156700
737800;5;167600
737800;6;172300
7378MAX;1;140000
7378MAX;2;144600
7378MAX;3;149600
7378MAX;4;159300
7378MAX;5;171300
7378MAX;6;174500
7378MAX;M;181200
737D17;1;90000
737D17;2;95000
737D17;3;100000
737D17;4;105000
737N17;1;90000
737N17;2;95000
737N17;3;100000
737N17;4;105000
737N9;1;82000
737N9;2;85000
737N9;3;92000
737N9;4;100000
737QN;1;82000
737QN;2;85000
737QN;3;92000
737QN;4;100000
747100;1;475000
747100;2;495000
747100;3;520000
747100;4;550000
747100;5;625000
747100;6;635000
74710Q;1;475000
74710Q;2;495000
74710Q;3;520000
74710Q;4;550000
74710Q;5;625000
74710Q;6;635000
747200;1;525000
747200;2;545000
747200;3;565000
747200;4;610000
747200;5;665000
747200;6;725000
747200;7;775000
74720A;1;475000
74720A;2;500000
74720A;3;520000
74720A;4;560000
74720A;5;610000
74720A;6;675000
74720A;7;725000
74720B;1;525000
74720B;2;545000
74720B;3;565000
74720B;4;610000
74720B;5;665000
74720B;6;725000
74720B;7;775000
747400;1;545000
747400;2;563800
747400;3;583100
747400;4;621500
747400;5;669500
747400;6;720900
747400;7;776600
747400;8;836200
747400;9;875000
7478;1;671100
7478;2;691200
7478;3;713300
7478;4;752400
7478;5;801000
7478;6;853400
7478;7;909300
7478;8;969000
7478;9;987000
747SP;1;400000
747SP;2;422000
747SP;3;443000
747SP;4;475000
747SP;5;518000
747SP;6;560000
747SP;7;625000
757300;1;203900
757300;2;212700
757300;3;222100
757300;4;239100
757300;5;260700
757300;6;269400
757PW;1;183200
757PW;2;190000
757PW;3;197500
757PW;4;212600
757PW;5;230900
757PW;6;243200
757PW;7;255000
757RR;1;183900
757RR;2;191200
757RR;3;199100
757RR;4;215200
757RR;5;234800
757RR;6;243200
757RR;7;255000
767300;1;265000
767300;2;275500
767300;3;286400
767300;4;305700
767300;5;330000
767300;6;355900
767300;7;367700
767400;1;288818
767400;2;299037
767400;3;310125
767400;4;329861
767400;5;354427
767400;6;380906
767400;7;422420
767CF6;1;227000
767CF6;2;236000
767CF6;3;245300
767CF6;4;261400
767CF6;5;281600
767CF6;6;303300
767CF6;7;315500
767JT9;1;228500
767JT9;2;237600
767JT9;3;247000
767JT9;4;263600
767JT9;5;284600
767JT9;6;306900
767JT9;7;317100
777200;1;429900
777200;2;442400
777200;3;456100
777200;4;483100
777200;5;516400
777200;6;551700
777200;7;589400
777200;8;629500
777200;9;656000
777300;1;435100
777300;2;449700
777300;3;465300
777300;4;493100
777300;5;527700
777300;6;564500
777300;7;636100
7773ER;1;503600
7773ER;2;519100
7773ER;3;536100
7773ER;4;565800
7773ER;5;602700
7773ER;6;642600
7773ER;7;684500
7773ER;8;728900
7773ER;9;775000
7878R;1;343400
7878R;2;353200
7878R;3;363900
7878R;4;382600
7878R;5;405700
7878R;6;430100
7878R;7;455900
7878R;8;483600
7878R;9;502500
A300-622R;1;278700
A300-622R;2;290300
A300-622R;3;302400
A300-622R;4;324100
A300-622R;5;353300
A300-622R;6;378500
A300B4-203;1;262000
A300B4-203;2;280000
A300B4-203;3;295000
A300B4-203;4;324000
A300B4-203;5;357000
A310-304;1;243300
A310-304;2;253000
A310-304;3;262900
A310-304;4;280700
A310-304;5;304400
A310-304;6;346100
A319-131;1;125900
A319-131;2;131000
A319-131;3;136500
A319-131;4;146100
A319-131;5;166400
A320-211;1;133400
A320-211;2;139200
A320-211;3;145200
A320-211;4;155900
A320-211;5;169800
A320-232;1;132900
A320-232;2;138500
A320-232;3;144200
A320-232;4;154300
A320-232;5;172000
A321-232;1;156800
A321-232;2;163300
A321-232;3;170000
A321-232;4;182100
A321-232;5;206100
A330-301;1;367000
A330-301;2;378500
A330-301;3;390500
A330-301;4;411700
A330-301;5;439200
A330-301;6;469100
A330-301;7;478400
A330-343;1;369200
A330-343;2;380800
A330-343;3;392900
A330-343;4;414300
A330-343;5;441900
A330-343;6;472000
A330-343;7;513700
A340-211;1;369500
A340-211;2;381600
A340-211;3;394100
A340-211;4;416600
A340-211;5;446000
A340-211;6;477600
A340-211;7;573200
A340-642;1;524100
A340-642;2;540700
A340-642;3;557800
A340-642;4;588000
A340-642;5;628600
A340-642;6;671300
A340-642;7;811300
A350-941;1;421680
A350-941;2;433189
A350-941;3;445270
A350-941;4;466326
A350-941;5;493412
A350-941;6;522377
A350-941;7;552871
A350-941;8;585147
A350-941;M;606271
A380-841;1;799160
