ACFT_ID;Thrust Rating;E;F;Ga;Gb;H;K1;K2;K3;K4
1900D;MaxClimb;2548.8;-6.7075;-0.014;0;-0.72;;;;
1900D;MaxTakeoff;3374.6;-9.6869;-0.0046;0;-0.504;;;;
707320;General;-25447.4;-6.79039;-0.01775;0;0;33299.8;-5817;;
707320;MaxClimb;15943.8;-13.9584;0.1672;5.71E-6;0;;;;
707320;MaxTakeoff;18044.7;-15.7976;0.1893;6.46E-6;0;;;;
707QN;General;-25447.4;-6.79039;-0.01775;0;0;33299.8;-5817;;
707QN;MaxClimb;15943.8;-13.9584;0.1672;5.71E-6;0;;;;
707QN;MaxTakeoff;18044.7;-15.7976;0.1893;6.46E-6;0;;;;
717200;MaxClimb;15541.5;-17.8282;0.253495;0;0;;;;
717200;MaxClimbHiTemp;22232.0;-18.025;-0.201;0;-218;;;;
717200;MaxTakeoff;17542.7;-19.588;0.234981;0;0;;;;
717200;MaxTkoffHiTemp;22280.7;-19.819;-0.097;0;-154.5;;;;
720B;General;-27419.9;-5.81791;-0.01175;0;0;35654.5;-6560.9;;
720B;MaxClimb;14540.1;-13.4149;0.121548;1.78E-6;0;;;;
720B;MaxTakeoff;16768.6;-15.471;0.140178;2.06E-6;0;;;;
727100;General;-14205.5;-4.53212;0;0;0;16602.8;-1403.02;;
727100;MaxClimb;12029.2;-7.99864;-0.052025;5.45E-6;0;;;;
727100;MaxTakeoff;13218.9;-8.78972;-0.057171;5.98E-6;0;;;;
727D15;General;-14773.7;-5.09534;0;0;0;17717.3;-1845.07;;
727D15;MaxClimb;14249.6;-8.103;-0.0436;0;-103;;;;
727D15;MaxTakeoff;14935.3;-7.459;0.3337;0;-14.78;;;;
727D15;MaxTkoffHiTemp;15524.3;-7.066;0;0;-32.38;;;;
727D17;General;-14773.7;-5.09534;0;0;0;17717.3;-1845.07;;
727D17;MaxClimb;13812.7;-7.52948;0.207702;-2.59E-5;0;;;;
727D17;MaxTakeoff;15519.8;-8.46009;0.233373;-2.91E-5;0;;;;
727EM1;MaxClimb;12029.2;-7.99864;-0.052025;5.45E-6;0;;;;
727EM1;MaxTakeoff;13218.9;-8.78972;-0.057171;5.98E-6;0;;;;
727EM2;General;-14773.7;-5.09534;0;0;0;17717.3;-1845.07;;
727EM2;MaxClimb;14249.6;-8.103;-0.0436;0;-103;;;;
727EM2;MaxTakeoff;14935.3;-7.459;0.3337;0;-14.78;;;;
727EM2;MaxTkoffHiTemp;15524.3;-7.066;0;0;-32.38;;;;
727Q15;General;-14773.7;-5.09534;0;0;0;17717.3;-1845.07;;
727Q15;MaxClimb;14249.6;-8.103;-0.0436;0;-103;;;;
727Q15;MaxTakeoff;14935.3;-7.459;0.3337;0;-14.78;;;;
727Q15;MaxTkoffHiTemp;15524.3;-7.066;0;0;-32.38;;;;
727Q7;General;-14205.5;-4.53212;0;0;0;16602.8;-1403.02;;
727Q7;MaxClimb;12029.2;-7.99864;-0.052025;5.45E-6;0;;;;
727Q7;MaxTakeoff;13218.9;-8.78972;-0.057171;5.98E-6;0;;;;
727Q9;General;-14095.4;-4.77532;0;0;0;16666.2;-1490.42;;
727Q9;MaxClimb;12746.2;-8.11613;-0.00049;-4.53E-6;0;;;;
727Q9;MaxTakeoff;13705.6;-8.72702;-0.000527;-4.88E-6;0;;;;
727QF;General;-10908.0;-23.3571;-0.0723;-1.38E-6;0;10929.8;2380.86;;
727QF;MaxClimb;11266.0;-9.335;0.169297;-4.7E-6;0;;;;
727QF;MaxClimbHiTemp;13966.0;-9.335;0;0;-90;;;;
727QF;MaxContHiTemp;14687.0;-9.335;0;0;-90;;;;
727QF;MaxContinuous;11987.0;-9.335;0.158001;-4.7E-6;0;;;;
727QF;MaxTakeoff;14100.0;-12.25;0.1495;-1.18E-5;0;;;;
727QF;MaxTkoffHiTemp;16800.0;-12.25;0;0;-90;;;;
737;General;-14095.4;-4.77532;0;0;0;16666.2;-1490.42;;
737;MaxClimb;12740.1;-7.93589;-0.026623;-4.28E-7;0;;;;
737;MaxTakeoff;13847.9;-8.62596;-0.028939;-4.65E-7;0;;;;
737300;General;11106.0;-10.09;-0.0409;0;0;;;-369.8;4.835
737300;MaxClimb;17383.1;-15.60722;0.148043;-1.0E-6;-24.2;;;;
737300;MaxClimbHiTemp;20363.9;-17.04521;-0.065784;-1.0E-6;-119;;;;
737300;MaxTakeoff;19347.0;-25.86886;0.456499;-1.12E-5;-14.78;;;;
737300;MaxTkoffHiTemp;21143.7;-26.2402;0.398451;-1.4E-5;-79.95;;;;
7373B2;General;11106.0;-10.09;-0.0409;0;0;;;-369.8;4.835
7373B2;MaxClimb;18623.5;-16.47974;0.169674;0;-9.126;;;;
7373B2;MaxClimbHiTemp;21906.6;-17.43268;-0.075356;0;-132.5;;;;
7373B2;MaxTakeoff;21480.7;-25.888;0.225791;0;-8.441;;;;
7373B2;MaxTkoffHiTemp;25393.2;-25.71748;-0.0246;0;-141.3;;;;
737400;General;21384.0;-13.79;-0.0435;0;0;;;-615.8;6.409
737400;MaxClimb;19662.2;-18.22095;0.207237;0;0;;;;
737400;MaxClimbHiTemp;22875.1;-18.00102;-0.07615;0;-124.7;;;;
737400;MaxTakeoff;22116.3;-26.01745;0.259442;0;0;;;;
