NPD_ID;Noise Metric;Op Mode;Power Setting;L_200ft;L_400ft;L_630ft;L_1000ft;L_2000ft;L_4000ft;L_6300ft;L_10000ft;L_16000ft;L_25000ft
2CF650;EPNL;A;10000.0;106.2;101.1;97.2;92.5;84.2;75.0;68.0;61.4;53.4;43.3
2CF650;EPNL;A;25000.0;109.8;105.1;101.5;97.3;90.3;82.0;76.0;70.0;62.7;53.9
2CF650;EPNL;D;25000.0;109.8;105.1;101.5;97.3;90.3;82.0;76.0;70.0;62.7;53.9
2CF650;EPNL;D;40000.0;113.0;108.6;105.2;101.5;95.6;88.2;83.1;77.5;70.8;63.3
2CF650;LAmax;A;10000.0;99.2;91.9;86.7;81.0;72.1;63.0;56.7;49.6;41.6;33.1
2CF650;LAmax;A;25000.0;105.3;98.3;93.4;88.0;79.5;70.5;64.3;57.4;49.7;41.5
2CF650;LAmax;D;25000.0;105.3;98.3;93.4;88.0;79.5;70.5;64.3;57.4;49.7;41.5
2CF650;LAmax;D;40000.0;109.1;102.3;97.6;92.5;84.3;75.4;69.3;62.6;55.1;47.2
2CF650;PNLTM;A;10000.0;113.8;105.9;100.2;93.6;82.5;70.5;61.7;53.2;43.3;31.4
2CF650;PNLTM;A;25000.0;117.4;109.9;104.5;98.4;88.6;77.5;69.7;61.8;52.6;42.0
2CF650;PNLTM;D;25000.0;117.4;109.9;104.5;98.4;88.6;77.5;69.7;61.8;52.6;42.0
2CF650;PNLTM;D;40000.0;120.6;113.4;108.2;102.6;93.9;83.7;76.8;69.3;60.7;51.4
2CF650;SEL;A;10000.0;99.9;95.0;91.4;87.5;81.3;74.6;69.7;64.2;57.7;50.7
2CF650;SEL;A;25000.0;103.7;99.3;96.1;92.7;87.1;80.6;75.8;70.5;64.3;57.5
2CF650;SEL;D;25000.0;103.7;99.3;96.1;92.7;87.1;80.6;75.8;70.5;64.3;57.5
2CF650;SEL;D;40000.0;106.8;102.9;100.1;97.1;92.0;85.8;81.0;75.9;69.9;63.4
2CF680;EPNL;A;7000.0;104.4;99.5;95.8;91.6;84.1;76.3;71.1;65.8;60.3;55.1
2CF680;EPNL;A;12000.0;106.5;101.5;97.7;93.5;85.7;78.1;73.0;67.9;62.6;57.6
2CF680;EPNL;D;17000.0;107.1;102.5;99.1;94.5;86.9;79.5;75.3;69.5;64.0;58.4
2CF680;EPNL;D;25000.0;107.4;102.9;99.5;95.9;89.2;82.2;77.4;71.8;65.9;59.8
2CF680;EPNL;D;33000.0;107.7;103.7;100.7;97.1;91.8;85.5;80.7;75.2;69.0;62.6
2CF680;EPNL;D;41000.0;111.6;107.8;105.0;102.1;96.9;90.6;85.8;80.3;74.1;67.7
2CF680;LAmax;A;7000.0;96.3;89.8;85.2;80.2;71.9;63.2;56.9;50.8;44.1;37.7
2CF680;LAmax;A;12000.0;97.5;90.9;86.3;81.3;73.0;64.4;58.3;52.3;45.8;39.6
2CF680;LAmax;D;17000.0;98.2;91.5;87.0;82.1;74.2;65.8;59.7;53.6;46.9;40.4
2CF680;LAmax;D;25000.0;98.5;92.6;88.3;83.7;76.4;68.0;62.0;55.6;48.7;41.8
2CF680;LAmax;D;33000.0;101.5;95.8;91.7;87.3;80.2;71.8;65.8;59.4;52.5;45.5
2CF680;LAmax;D;41000.0;104.4;99.0;95.2;91.0;84.1;75.8;69.7;63.2;56.0;48.8
2CF680;PNLTM;A;7000.0;112.0;104.3;98.8;92.7;82.4;71.8;64.8;57.6;50.2;43.2
2CF680;PNLTM;A;12000.0;114.1;106.3;100.7;94.6;84.0;73.6;66.7;59.7;52.5;45.7
2CF680;PNLTM;D;17000.0;114.7;107.3;102.1;95.6;85.2;75.0;69.0;61.3;53.9;46.5
2CF680;PNLTM;D;25000.0;115.0;107.7;102.5;97.0;87.5;77.7;71.1;63.6;55.8;47.9
2CF680;PNLTM;D;33000.0;115.3;108.5;103.7;98.2;90.1;81.0;74.4;67.0;58.9;50.7
2CF680;PNLTM;D;41000.0;119.2;112.6;108.0;103.2;95.2;86.1;79.5;72.1;64.0;55.8
2CF680;SEL;A;7000.0;98.1;93.9;90.8;87.4;81.4;75.0;70.3;65.7;60.6;55.7
